[2026-02-25 22:14:42.232][TRC][Px43524][Tx55825] asst::RoguelikeCollapsalParadigmConfig :: asst::AbstractConfig::load | leave, 1 ms
[2026-02-25 22:14:42.233][TRC][Px43524][Tx55825] asst::RoguelikeCoppersConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:42.242][TRC][Px43524][Tx55825] asst::RoguelikeCoppersConfig::parse | enter
[2026-02-25 22:14:42.242][TRC][Px43524][Tx55825] asst::RoguelikeCoppersConfig::parse | leave, 0 ms
[2026-02-25 22:14:42.242][TRC][Px43524][Tx55825] asst::RoguelikeCoppersConfig :: asst::AbstractConfig::load | leave, 9 ms
[2026-02-25 22:14:42.242][INF][Px43524][Tx55825] asst::ResourceLoader::load ret 1
[2026-02-25 22:14:42.242][TRC][Px43524][Tx55825] asst::ResourceLoader::load | leave, 1155 ms
[2026-02-25 22:14:42.242][TRC][Px43524][Tx55825] asst::Assistant::Assistant | enter
[2026-02-25 22:14:42.243][TRC][Px43524][Tx55825] asst::Controller::Controller | enter
[2026-02-25 22:14:42.243][TRC][Px43524][Tx55825] asst::Controller::Controller | leave, 0 ms
[2026-02-25 22:14:42.243][TRC][Px43524][Tx55825] asst::Assistant::Assistant | leave, 0 ms
[2026-02-25 22:14:42.243][TRC][Px43524][Tx55825] asst::Assistant::~Assistant | enter
[2026-02-25 22:14:42.243][TRC][Px43524][Tx63530] asst::Assistant::call_proc | enter
[2026-02-25 22:14:42.243][TRC][Px43524][Tx29665] asst::Assistant::msg_proc | enter
[2026-02-25 22:14:42.243][TRC][Px43524][Tx53263] asst::Assistant::working_proc | enter
[2026-02-25 22:14:42.244][TRC][Px43524][Tx63530] asst::Assistant::call_proc | leave, 0 ms
[2026-02-25 22:14:42.244][TRC][Px43524][Tx53263] asst::Assistant::working_proc | leave, 0 ms
[2026-02-25 22:14:42.244][TRC][Px43524][Tx29665] asst::Assistant::msg_proc | leave, 0 ms
[2026-02-25 22:14:42.244][TRC][Px43524][Tx55825] asst::Assistant::~Assistant | leave, 1 ms
[2026-02-25 22:14:42.244][TRC][Px43524][Tx55825] asst::Controller::~Controller | enter
[2026-02-25 22:14:42.244][TRC][Px43524][Tx55825] asst::Controller::~Controller | leave, 0 ms
[2026-02-25 22:14:42.251][TRC][Px43524][Tx55825] asst::OcrPack::~OcrPack | enter
[2026-02-25 22:14:42.251][TRC][Px43524][Tx55825] asst::OcrPack::~OcrPack | leave, 0 ms
[2026-02-25 22:14:42.251][TRC][Px43524][Tx55825] asst::OcrPack::~OcrPack | enter
[2026-02-25 22:14:42.251][TRC][Px43524][Tx55825] asst::OcrPack::~OcrPack | leave, 0 ms
[2026-02-25 22:23:20.666][TRC][Px53888][Tx49374] -----------------------------
[2026-02-25 22:23:20.666][TRC][Px53888][Tx49374] MaaCore Process Start
[2026-02-25 22:23:20.666][TRC][Px53888][Tx49374] Version v6.3.2
[2026-02-25 22:23:20.666][TRC][Px53888][Tx49374] Built at Feb 18 2026 15:39:24
[2026-02-25 22:23:20.666][TRC][Px53888][Tx49374] User Dir c:\Users\xray\Documents\ArkStudio\ReAcrture\client\maa_integration
[2026-02-25 22:23:20.666][TRC][Px53888][Tx49374] -----------------------------
[2026-02-25 22:23:20.666][TRC][Px53888][Tx49374] asst::ResourceLoader::load | enter
[2026-02-25 22:23:20.689][TRC][Px53888][Tx49374] asst::OnnxSessions::load | enter
[2026-02-25 22:23:20.689][INF][Px53888][Tx49374] record path resource\onnx\skill_ready_cls.onnx
[2026-02-25 22:23:20.689][TRC][Px53888][Tx49374] asst::OnnxSessions::load | leave, 0 ms
[2026-02-25 22:23:20.689][TRC][Px53888][Tx49374] asst::OnnxSessions::load | enter
[2026-02-25 22:23:20.689][INF][Px53888][Tx49374] record path resource\onnx\deploy_direction_cls.onnx
[2026-02-25 22:23:20.689][TRC][Px53888][Tx49374] asst::OnnxSessions::load | leave, 0 ms
[2026-02-25 22:23:20.689][TRC][Px53888][Tx49374] asst::OnnxSessions::load | enter
[2026-02-25 22:23:20.689][INF][Px53888][Tx49374] record path resource\onnx\operators_det.onnx
[2026-02-25 22:23:20.689][TRC][Px53888][Tx49374] asst::OnnxSessions::load | leave, 0 ms
[2026-02-25 22:23:20.689][TRC][Px53888][Tx49374] asst::OcrPack::OcrPack | enter
[2026-02-25 22:23:20.689][TRC][Px53888][Tx49374] asst::OcrPack::OcrPack | leave, 0 ms
[2026-02-25 22:23:20.689][TRC][Px53888][Tx49374] asst::OcrPack::load | enter
[2026-02-25 22:23:20.689][INF][Px53888][Tx49374] load resource\PaddleOCR
[2026-02-25 22:23:20.690][TRC][Px53888][Tx49374] asst::OcrPack::load | leave, 0 ms
[2026-02-25 22:23:20.690][TRC][Px53888][Tx49374] asst::OcrPack::OcrPack | enter
[2026-02-25 22:23:20.690][TRC][Px53888][Tx49374] asst::OcrPack::OcrPack | leave, 0 ms
[2026-02-25 22:23:20.690][TRC][Px53888][Tx49374] asst::OcrPack::load | enter
[2026-02-25 22:23:20.690][INF][Px53888][Tx49374] load resource\PaddleCharOCR
